bb-00-00-b2-11-1a,rpm,temperature,vibration
2016-11-06T01:50:00Z,3258,72,2030
2016-11-06T01:50:30Z,3258,73,2030
2016-11-06T01:51:00Z,3258,72,2030
2016-11-06T01:51:30Z,3258,72,2030
bb-00-00-b2-11-1b,rpm,temperature,vibration
2016-11-06T01:50:00Z,3258,73,2030
2016-11-06T01:50:30Z,3258,72,2030
2016-11-06T01:51:00Z,3258,72,2030
2016-11-06T01:51:30Z,3258,73,2030
bb-00-00-b2-11-1c,rpm,temperature,vibration
2016-11-06T01:50:00Z,3258,71,2030
2016-11-06T01:50:30Z,3258,71,2030
2016-11-06T01:51:00Z,3258,71,2030
2016-11-06T01:51:30Z,3258,72,2030
