00-00-00-b2-11-1a:rpm,2016-11-06T01:50:47Z,3258
00-00-00-b2-11-1a:temperature,2016-11-06T01:50:47Z,72
00-00-00-b2-11-1a:vibration,2016-11-06T01:50:47Z,2030
00-00-00-b2-11-1b:rpm,2016-11-06T01:50:48Z,1441
00-00-00-b2-11-1b:temperature,2016-11-06T01:50:48Z,71
00-00-00-b2-11-1b:vibration,2016-11-06T01:50:48Z,3162
00-00-00-b2-11-1c:rpm,2016-11-06T01:50:49Z,3243
00-00-00-b2-11-1c:temperature,2016-11-06T01:50:49Z,73
00-00-00-b2-11-1c:vibration,2016-11-06T01:50:49Z,1974
00-00-00-b2-11-1d:rpm,2016-11-06T01:50:50Z,2298
00-00-00-b2-11-1d:temperature,2016-11-06T01:50:50Z,72
00-00-00-b2-11-1d:vibration,2016-11-06T01:50:50Z,2511
00-00-00-b2-11-1e:rpm,2016-11-06T01:50:50Z,2298
00-00-00-b2-11-1e:temperature,2016-11-06T01:50:50Z,73
00-00-00-b2-11-1e:vibration,2016-11-06T01:50:50Z,2511
